"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","platelet activation","GO:0030168","0.00015487174426534526","3.810027810316975","114","627","19","16178","ENSG00000130203,ENSG00000197943,ENSG00000172500,ENSG00000154229,ENSG00000213719,ENSG00000165025,ENSG00000051382,ENSG00000115956,ENSG00000149781,ENSG00000141968,ENSG00000136869,ENSG00000159176,ENSG00000136854,ENSG00000134352,ENSG00000106211,ENSG00000137076,ENSG00000158869,ENSG00000254087,ENSG00000116266"
"GO:BP","positive regulation of leukocyte migration","GO:0002687","0.00017071608011775275","3.7677255698196412","117","818","22","16178","ENSG00000107099,ENSG00000095970,ENSG00000137845,ENSG00000120899,ENSG00000115310,ENSG00000090339,ENSG00000182578,ENSG00000184371,ENSG00000123338,ENSG00000110492,ENSG00000100030,ENSG00000196776,ENSG00000168961,ENSG00000087470,ENSG00000105894,ENSG00000177119,ENSG00000133800,ENSG00000019582,ENSG00000111859,ENSG00000006210,ENSG00000112715,ENSG00000169313"
"GO:BP","smooth muscle cell migration","GO:0014909","0.00017211772745082598","3.7641743967405494","41","840","13","16178","ENSG00000145147,ENSG00000128512,ENSG00000154734,ENSG00000123384,ENSG00000115461,ENSG00000110492,ENSG00000081189,ENSG00000109072,ENSG00000159640,ENSG00000116641,ENSG00000163191,ENSG00000017427,ENSG00000104368"
"GO:BP","regulation of synaptic plasticity","GO:0048167","0.00017232649331739964","3.7636479493827593","126","823","23","16178","ENSG00000130203,ENSG00000273079,ENSG00000183454,ENSG00000187672,ENSG00000197283,ENSG00000132535,ENSG00000120899,ENSG00000128564,ENSG00000011600,ENSG00000103496,ENSG00000105649,ENSG00000176406,ENSG00000144290,ENSG00000081189,ENSG00000159640,ENSG00000105894,ENSG00000168309,ENSG00000011347,ENSG00000118160,ENSG00000109756,ENSG00000102003,ENSG00000006210,ENSG00000168329"
"GO:BP","positive regulation of cell activation","GO:0050867","0.00019138524427346221","3.7180915492010005","287","871","39","16178","ENSG00000196126,ENSG00000107099,ENSG00000204287,ENSG00000095970,ENSG00000203710,ENSG00000242574,ENSG00000165025,ENSG00000135426,ENSG00000111679,ENSG00000168918,ENSG00000115956,ENSG00000141968,ENSG00000136869,ENSG00000204252,ENSG00000011600,ENSG00000171791,ENSG00000123338,ENSG00000110651,ENSG00000110492,ENSG00000163513,ENSG00000196776,ENSG00000081237,ENSG00000135046,ENSG00000168961,ENSG00000081189,ENSG00000066336,ENSG00000134352,ENSG00000138814,ENSG00000239998,ENSG00000254087,ENSG00000164136,ENSG00000019582,ENSG00000144802,ENSG00000114013,ENSG00000127666,ENSG00000017427,ENSG00000130202,ENSG00000142208,ENSG00000121879"
"GO:BP","tumor necrosis factor production","GO:0032640","0.00020050023292764117","3.697885118509482","127","823","23","16178","ENSG00000197943,ENSG00000051523,ENSG00000165025,ENSG00000120885,ENSG00000111679,ENSG00000168610,ENSG00000136869,ENSG00000011600,ENSG00000135077,ENSG00000196776,ENSG00000081237,ENSG00000137462,ENSG00000168961,ENSG00000105383,ENSG00000239998,ENSG00000106211,ENSG00000115267,ENSG00000116584,ENSG00000172247,ENSG00000174125,ENSG00000006210,ENSG00000017427,ENSG00000168329"
"GO:BP","regulation of tumor necrosis factor production","GO:0032680","0.00020050023292764117","3.697885118509482","127","823","23","16178","ENSG00000197943,ENSG00000051523,ENSG00000165025,ENSG00000120885,ENSG00000111679,ENSG00000168610,ENSG00000136869,ENSG00000011600,ENSG00000135077,ENSG00000196776,ENSG00000081237,ENSG00000137462,ENSG00000168961,ENSG00000105383,ENSG00000239998,ENSG00000106211,ENSG00000115267,ENSG00000116584,ENSG00000172247,ENSG00000174125,ENSG00000006210,ENSG00000017427,ENSG00000168329"
"GO:BP","cellular component maintenance","GO:0043954","0.0002014430460342184","3.6958477201896924","46","80","6","16178","ENSG00000130203,ENSG00000273079,ENSG00000095970,ENSG00000171105,ENSG00000140443,ENSG00000187672"
"GO:BP","positive regulation of cell development","GO:0010720","0.00020309009073285253","3.6923112663787006","280","823","37","16178","ENSG00000196126,ENSG00000204287,ENSG00000162946,ENSG00000038427,ENSG00000154229,ENSG00000136717,ENSG00000145147,ENSG00000203710,ENSG00000165025,ENSG00000135426,ENSG00000168918,ENSG00000169855,ENSG00000065320,ENSG00000011600,ENSG00000180353,ENSG00000184371,ENSG00000123338,ENSG00000110492,ENSG00000163513,ENSG00000148053,ENSG00000135046,ENSG00000168961,ENSG00000114554,ENSG00000176697,ENSG00000105894,ENSG00000066336,ENSG00000138814,ENSG00000018189,ENSG00000164050,ENSG00000019582,ENSG00000144802,ENSG00000114013,ENSG00000106278,ENSG00000111859,ENSG00000006210,ENSG00000112715,ENSG00000168329"
"GO:BP","positive regulation of exocytosis","GO:0045921","0.00020323743800446375","3.6919962884101234","68","402","12","16178","ENSG00000145335,ENSG00000165025,ENSG00000124145,ENSG00000163618,ENSG00000160255,ENSG00000041353,ENSG00000103496,ENSG00000105649,ENSG00000067715,ENSG00000182718,ENSG00000169896,ENSG00000106089"
