"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of endothelial cell migration","GO:0010594","0.0017488660855715032","2.7572434441084814","154","2448","47","16178","ENSG00000130203,ENSG00000073060,ENSG00000073756,ENSG00000051382,ENSG00000179218,ENSG00000132170,ENSG00000168874,ENSG00000030582,ENSG00000204435,ENSG00000011405,ENSG00000185551,ENSG00000120899,ENSG00000105287,ENSG00000100644,ENSG00000097007,ENSG00000142208,ENSG00000077782,ENSG00000165757,ENSG00000037280,ENSG00000141376,ENSG00000164867,ENSG00000163874,ENSG00000100311,ENSG00000232810,ENSG00000169057,ENSG00000100292,ENSG00000142627,ENSG00000148400,ENSG00000135744,ENSG00000105220,ENSG00000110955,ENSG00000111961,ENSG00000152234,ENSG00000113578,ENSG00000081189,ENSG00000132669,ENSG00000112715,ENSG00000136826,ENSG00000105894,ENSG00000078401,ENSG00000151694,ENSG00000138685,ENSG00000134954,ENSG00000140403,ENSG00000096717,ENSG00000104522,ENSG00000154188"
"GO:BP","neuron apoptotic process","GO:0051402","0.0017578778035027803","2.755011317606346","137","22","5","16178","ENSG00000142192,ENSG00000164885,ENSG00000130203,ENSG00000176749,ENSG00000118689"
"GO:BP","glycerolipid metabolic process","GO:0046486","0.001840598922435731","2.7350408365637","337","345","23","16178","ENSG00000137642,ENSG00000130203,ENSG00000073060,ENSG00000100330,ENSG00000131408,ENSG00000143393,ENSG00000139505,ENSG00000115020,ENSG00000163719,ENSG00000051382,ENSG00000147246,ENSG00000145675,ENSG00000156471,ENSG00000104643,ENSG00000143398,ENSG00000102468,ENSG00000197943,ENSG00000168918,ENSG00000117480,ENSG00000172977,ENSG00000116906,ENSG00000163686,ENSG00000105647"
"GO:BP","regulation of systemic arterial blood pressure by norepinephrine-epinephrine","GO:0001993","0.001848561063559564","2.7331661987944456","6","263","4","16178","ENSG00000188778,ENSG00000169252,ENSG00000120907,ENSG00000043591"
"GO:BP","positive regulation of lipid metabolic process","GO:0045834","0.0019250947627341083","2.715547887495963","99","1527","26","16178","ENSG00000130203,ENSG00000073060,ENSG00000073756,ENSG00000131408,ENSG00000198793,ENSG00000147246,ENSG00000102468,ENSG00000132170,ENSG00000118260,ENSG00000172977,ENSG00000135346,ENSG00000160179,ENSG00000186868,ENSG00000142208,ENSG00000165175,ENSG00000232810,ENSG00000112033,ENSG00000181092,ENSG00000121769,ENSG00000234906,ENSG00000181722,ENSG00000125538,ENSG00000025434,ENSG00000111537,ENSG00000186951,ENSG00000101210"
"GO:BP","response to nutrient levels","GO:0031667","0.0019531581652023227","2.70926258646469","260","383","21","16178","ENSG00000137642,ENSG00000130203,ENSG00000010704,ENSG00000118689,ENSG00000124762,ENSG00000100330,ENSG00000113712,ENSG00000147883,ENSG00000141510,ENSG00000198793,ENSG00000157020,ENSG00000147246,ENSG00000132170,ENSG00000177169,ENSG00000172977,ENSG00000164916,ENSG00000100151,ENSG00000111725,ENSG00000149357,ENSG00000163545,ENSG00000188906"
"GO:BP","membrane protein intracellular domain proteolysis","GO:0031293","0.0019782999582242974","2.7037078581761222","11","311","5","16178","ENSG00000138613,ENSG00000162736,ENSG00000205155,ENSG00000117362,ENSG00000137673"
"GO:BP","reverse cholesterol transport","GO:0043691","0.002049180047506847","2.6884198814214346","17","1225","9","16178","ENSG00000130203,ENSG00000073060,ENSG00000120885,ENSG00000165029,ENSG00000160179,ENSG00000101670,ENSG00000166035,ENSG00000087237,ENSG00000234906"
"GO:BP","protein localization to extracellular region","GO:0071692","0.00206306368922974","2.6854873646327224","256","1754","54","16178","ENSG00000130203,ENSG00000087085,ENSG00000113161,ENSG00000105383,ENSG00000198087,ENSG00000181789,ENSG00000103174,ENSG00000155657,ENSG00000149295,ENSG00000132170,ENSG00000068366,ENSG00000065615,ENSG00000100151,ENSG00000127022,ENSG00000165029,ENSG00000174672,ENSG00000160179,ENSG00000148737,ENSG00000069696,ENSG00000151577,ENSG00000129354,ENSG00000150594,ENSG00000137288,ENSG00000113108,ENSG00000064651,ENSG00000158623,ENSG00000126266,ENSG00000106633,ENSG00000196126,ENSG00000151474,ENSG00000107758,ENSG00000232810,ENSG00000134640,ENSG00000080298,ENSG00000103496,ENSG00000136573,ENSG00000136244,ENSG00000125538,ENSG00000025434,ENSG00000111537,ENSG00000141433,ENSG00000095970,ENSG00000017427,ENSG00000136770,ENSG00000012779,ENSG00000007171,ENSG00000090565,ENSG00000138207,ENSG00000099139,ENSG00000152932,ENSG00000132639,ENSG00000125967,ENSG00000150907,ENSG00000159363"
"GO:BP","response to alcohol","GO:0097305","0.002065268193434491","2.6850235433462233","89","15","4","16178","ENSG00000176884,ENSG00000273079,ENSG00000183454,ENSG00000198785"
"GO:BP","organ growth","GO:0035265","0.0021751043163518156","2.662519909776206","66","2425","26","16178","ENSG00000197746,ENSG00000106799,ENSG00000108576,ENSG00000068078,ENSG00000137193,ENSG00000162733,ENSG00000125398,ENSG00000163110,ENSG00000107779,ENSG00000113645,ENSG00000105723,ENSG00000121068,ENSG00000142168,ENSG00000148400,ENSG00000017427,ENSG00000171862,ENSG00000138207,ENSG00000137693,ENSG00000144560,ENSG00000081189,ENSG00000150457,ENSG00000078401,ENSG00000174697,ENSG00000138685,ENSG00000197043,ENSG00000176788"
"GO:BP","regulation of MAP kinase activity","GO:0043405","0.0021790213501790847","2.6617385144900734","124","1974","35","16178","ENSG00000130203,ENSG00000166311,ENSG00000167258,ENSG00000196396,ENSG00000149177,ENSG00000132170,ENSG00000076984,ENSG00000168067,ENSG00000188906,ENSG00000113721,ENSG00000173327,ENSG00000069696,ENSG00000141736,ENSG00000150594,ENSG00000157368,ENSG00000077782,ENSG00000135341,ENSG00000163221,ENSG00000100311,ENSG00000232810,ENSG00000121653,ENSG00000171105,ENSG00000181092,ENSG00000254087,ENSG00000125538,ENSG00000259384,ENSG00000154277,ENSG00000135744,ENSG00000111961,ENSG00000146648,ENSG00000149269,ENSG00000113578,ENSG00000112715,ENSG00000197461,ENSG00000078401"
"GO:BP","negative regulation of cyclin-dependent protein kinase activity","GO:1904030","0.002201814289105603","2.657219314164402","21","63","4","16178","ENSG00000166851,ENSG00000124762,ENSG00000129757,ENSG00000147889"
"GO:BP","positive regulation of lipid transport","GO:0032370","0.0023171550425979885","2.635044906265257","62","1612","20","16178","ENSG00000130203,ENSG00000131408,ENSG00000064687,ENSG00000123384,ENSG00000132170,ENSG00000101670,ENSG00000182718,ENSG00000151726,ENSG00000180432,ENSG00000186350,ENSG00000087237,ENSG00000181092,ENSG00000121769,ENSG00000125538,ENSG00000025434,ENSG00000005421,ENSG00000118785,ENSG00000095970,ENSG00000137869,ENSG00000100906"
"GO:BP","synaptic transmission, cholinergic","GO:0007271","0.0024119763683572897","2.617626951566009","23","1438","11","16178","ENSG00000130203,ENSG00000087085,ENSG00000101204,ENSG00000160716,ENSG00000175344,ENSG00000129749,ENSG00000120903,ENSG00000169684,ENSG00000147434,ENSG00000108556,ENSG00000165917"
"GO:BP","positive regulation of glycolytic process","GO:0045821","0.0024199674787448353","2.6161904703404635","19","2","2","16178","ENSG00000142192,ENSG00000080815"
"GO:BP","positive regulation of nucleotide catabolic process","GO:0030813","0.0024199674787448353","2.6161904703404635","19","2","2","16178","ENSG00000142192,ENSG00000080815"
