symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PTGS2	0.5973341826629548	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9701631585881277	No data	No data	No data	No data	No data	No data	0.24812428910314765	No data	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747515556027039	0	-1	No data	-0.027317500000000015	0.5	0
SLC12A3	0.5958229351185109	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9776517623959421	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data	1	1	0	0	0	0	0.4857999999999997	No data	0.34663471556574277	-0.6965924466705034	0	No data	No data	0	1	1
PTGS1	0.5957192230803587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9701631585881277	No data	No data	No data	No data	No data	No data	0.19499457141354473	No data	No data	1	0	0	1	1	0	0.48247	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.040067499999999964	0.5	0
ITGA2B	0.5919653402526787	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9641462487892724	No data	No data	No data	No data	No data	No data	0.1918357232393099	No data	No data	1	1	0	1	1	1	0	No data	-0.18806001250260473	-0.8596726220932301	0	No data	No data	0	0.5	0
F2	0.584904656630531	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9458073474429219	No data	No data	No data	No data	No data	No data	0.32632798178982175	No data	No data	1	0	1	1	1	1	0.05144499999999965	0	-0.45061471139820797	-0.946608287346107	0	-1	No data	0	1	1
F2R	0.5729349181652228	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9285669064556789	No data	No data	No data	No data	No data	No data	0.27735058401341994	No data	No data	1	1	0	1	1	0	0	1	0.057616170035424075	-0.9505798210174293	0	No data	No data	0	0.5	0
GUCY1B2	0.5709934055097302	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9392407947631427	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB2A	0.5705727977658978	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	0.10030858160591748	No data	No data	1	0	0	1	1	0	1	No data	-0.6755574077932902	-0.25526967417387053	0	No data	No data	-0.9887650000000001	0.75	-1
TUBB3	0.5688172934561454	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	0	0	1	1	0	0.9888899999999999	1	-0.7348405917899563	-0.671510691216724	0	No data	No data	-0.794445	1	0
TUBB6	0.5679857387831049	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	1	0	0	1	1	0	0.8766800000000003	No data	0.16284642633882052	0	0	No data	No data	-0.8094175	-1	-1
